"year","geo_region","w1","w2","status","n_cells","E_data","n_obs","mae","wmae","mae_per_cell","wmae_per_cell","mae_plus_lambda_cells","wmae_plus_lambda_cells","error"
2021,"east",1,0.4,"optimal",501,34,1204,0.0329736888337089,0.0282330096592112,6.58157461750677e-05,5.63533126930363e-05,0.0329736888337089,0.0282330096592112,NA
2021,"east",1,0.5,"optimal",501,34,1204,0.0329657684991696,0.0282272255660952,6.57999371240909e-05,5.63417675969963e-05,0.0329657684991696,0.0282272255660952,NA
2021,"east",1,0.6,"optimal",501,34,1204,0.0334596155874168,0.0288662873521312,6.67856598551234e-05,5.76173400242139e-05,0.0334596155874168,0.0288662873521312,NA
2021,"east",1,0.7,"optimal",501,34,1204,0.0332305530175936,0.0285860603248805,6.63284491369134e-05,5.705800464048e-05,0.0332305530175936,0.0285860603248805,NA
2021,"east",1,0.8,"optimal",501,34,1204,0.0335957866465043,0.0289402735408253,6.70574583762561e-05,5.77650170475555e-05,0.0335957866465043,0.0289402735408253,NA
2021,"east",1,0.9,"optimal",501,34,1204,0.0336027717452637,0.0289378458115966,6.70714006891492e-05,5.7760171280632e-05,0.0336027717452637,0.0289378458115966,NA
2021,"east",1,1,"optimal",501,34,1204,0.0336059857042731,0.0289442288686573,6.70778157769921e-05,5.77729119134875e-05,0.0336059857042731,0.0289442288686573,NA
2021,"east",1,1.11111111111111,"optimal",501,34,1204,0.0337986940615355,0.0290604968039512,6.74624631966777e-05,5.80049836406212e-05,0.0337986940615355,0.0290604968039512,NA
2021,"east",1,1.25,"optimal",540,34,1204,0.0333412760584911,0.0283092947764883,6.17431038120206e-05,5.24246199564598e-05,0.0333412760584911,0.0283092947764883,NA
2021,"east",1,1.42857142857143,"optimal",501,34,1204,0.0338822038166541,0.0288349648322927,6.76291493346389e-05,5.75548200245364e-05,0.0338822038166541,0.0288349648322927,NA
2021,"east",1,1.66666666666667,"optimal",501,34,1204,0.0340210426499565,0.0289087790168974,6.79062727544043e-05,5.77021537263421e-05,0.0340210426499565,0.0289087790168974,NA
2021,"east",1,2,"optimal",501,34,1204,0.0336051763360224,0.0285086361799488,6.70762002715018e-05,5.69034654290394e-05,0.0336051763360224,0.0285086361799488,NA
2021,"east",1,2.5,"optimal",501,34,1204,0.0339418265587844,0.0289095728074203,6.77481568039609e-05,5.77037381385635e-05,0.0339418265587844,0.0289095728074203,NA
2021,"east",1,3.33333333333333,"optimal",501,34,1204,0.0343341549105914,0.0293124441412176,6.85312473265298e-05,5.85078725373605e-05,0.0343341549105914,0.0293124441412176,NA
2021,"east",1,5,"optimal",501,34,1204,0.0335990796367674,0.0284525688217293,6.70640312111125e-05,5.67915545343897e-05,0.0335990796367674,0.0284525688217293,NA
2013,"west",1,0.2,"optimal",501,94,3058,0.00994988411124793,0.00744904454383855,1.98600481262434e-05,1.48683523829113e-05,0.00994988411124793,0.00744904454383855,NA
2013,"west",1,0.3,"optimal",501,94,3058,0.00998301133170512,0.0075433200974109,1.99261703227647e-05,1.50565271405407e-05,0.00998301133170512,0.0075433200974109,NA
2013,"west",1,0.4,"optimal",501,94,3058,0.0100796634732969,0.00766537606476144,2.01190887690556e-05,1.53001518258711e-05,0.0100796634732969,0.00766537606476144,NA
2013,"west",1,0.5,"optimal",501,94,3058,0.0100775842523883,0.00766577850734909,2.01149386275216e-05,1.53009551044892e-05,0.0100775842523883,0.00766577850734909,NA
2013,"west",1,0.6,"optimal",501,94,3058,0.0101369304694608,0.00769569776866148,2.02333941506203e-05,1.53606741889451e-05,0.0101369304694608,0.00769569776866148,NA
2013,"west",1,0.7,"optimal",501,94,3058,0.0101369304690315,0.00769590374543583,2.02333941497634e-05,1.53610853202312e-05,0.0101369304690315,0.00769590374543583,NA
2013,"west",1,0.8,"optimal",501,94,3058,0.0101791571624275,0.00774702504550482,2.03176789669211e-05,1.5463123843323e-05,0.0101791571624275,0.00774702504550482,NA
2013,"west",1,0.9,"optimal",501,94,3058,0.0101824160091286,0.00774820574386639,2.03241836509553e-05,1.54654805266794e-05,0.0101824160091286,0.00774820574386639,NA
2013,"west",1,1,"optimal",501,94,3058,0.0101826242849668,0.00773077656216559,2.03245993711912e-05,1.54306917408495e-05,0.0101826242849668,0.00773077656216559,NA
2013,"west",1,1.11111111111111,"optimal",501,94,3058,0.0101958159933544,0.00774334543919433,2.03509301264559e-05,1.54557793197492e-05,0.0101958159933544,0.00774334543919433,NA
2013,"west",1,1.25,"optimal",501,94,3058,0.0101959970991558,0.00774505369862391,2.03512916150814e-05,1.54591890192094e-05,0.0101959970991558,0.00774505369862391,NA
2013,"west",1,1.42857142857143,"optimal",501,94,3058,0.0101957767179807,0.00774272219034842,2.03508517324964e-05,1.54545353100767e-05,0.0101957767179807,0.00774272219034842,NA
2013,"west",1,1.66666666666667,"optimal",501,94,3058,0.0101928966778431,0.00770567822659826,2.03451031493874e-05,1.53805952626712e-05,0.0101928966778431,0.00770567822659826,NA
2013,"west",1,2,"optimal",501,94,3058,0.0102106926920185,0.00772081896572356,2.03806241357654e-05,1.54108162988494e-05,0.0102106926920185,0.00772081896572356,NA
2013,"west",1,2.5,"optimal",501,94,3058,0.010126755264611,0.00765240203131029,2.0213084360501e-05,1.52742555515176e-05,0.010126755264611,0.00765240203131029,NA
2013,"west",1,3.33333333333333,"optimal",501,94,3058,0.0101561602515132,0.00769727807130859,2.02717769491281e-05,1.53638284856459e-05,0.0101561602515132,0.00769727807130859,NA
2013,"west",1,5,"optimal",501,94,3058,0.0100723121960227,0.00764228573592497,2.01044155609235e-05,1.52540633451596e-05,0.0100723121960227,0.00764228573592497,NA
2017,"west",1,0.2,"optimal",501,94,3110,0.0192119121771086,0.0164733594973941,3.83471300940292e-05,3.28809570806269e-05,0.0192119121771086,0.0164733594973941,NA
2017,"west",1,0.3,"optimal",501,94,3110,0.0198914219298936,0.0171222738600855,3.97034369858157e-05,3.41761953295121e-05,0.0198914219298936,0.0171222738600855,NA
2017,"west",1,0.4,"optimal",501,94,3110,0.0199598030032969,0.0171168666079292,3.98399261542852e-05,3.41654024110363e-05,0.0199598030032969,0.0171168666079292,NA
2017,"west",1,0.5,"optimal",501,94,3110,0.020005949605412,0.0171802023675924,3.99320351405429e-05,3.42918210929988e-05,0.020005949605412,0.0171802023675924,NA
2017,"west",1,0.6,"optimal",501,94,3110,0.0201825748592322,0.0176943281715233,4.02845805573497e-05,3.53180203024416e-05,0.0201825748592322,0.0176943281715233,NA
2017,"west",1,0.7,"optimal",501,94,3110,0.0202185591668663,0.0176741110419133,4.03564055226873e-05,3.5277666750326e-05,0.0202185591668663,0.0176741110419133,NA
2017,"west",1,0.8,"optimal",501,94,3110,0.0201745725181646,0.0176812052409108,4.02686078206878e-05,3.52918268281652e-05,0.0201745725181646,0.0176812052409108,NA
2017,"west",1,0.9,"optimal",501,94,3110,0.0202202690453932,0.0177148637055301,4.03598184538786e-05,3.53590093922757e-05,0.0202202690453932,0.0177148637055301,NA
2017,"west",1,1,"optimal",501,94,3110,0.0202333095818913,0.0177837629828407,4.0385847468845e-05,3.54965328998817e-05,0.0202333095818913,0.0177837629828407,NA
2017,"west",1,1.11111111111111,"optimal",501,94,3110,0.0202235262568723,0.0177645331726855,4.03663198739966e-05,3.54581500452804e-05,0.0202235262568723,0.0177645331726855,NA
2017,"west",1,1.25,"optimal",501,94,3110,0.0202016692305735,0.0176819552024318,4.03226930749971e-05,3.52933237573489e-05,0.0202016692305735,0.0176819552024318,NA
2017,"west",1,1.42857142857143,"optimal",501,94,3110,0.0202919381949124,0.017849346842688,4.05028706485278e-05,3.56274388077605e-05,0.0202919381949124,0.017849346842688,NA
2017,"west",1,1.66666666666667,"optimal",501,94,3110,0.020466510300661,0.0182327974132451,4.08513179653912e-05,3.63928092080741e-05,0.020466510300661,0.0182327974132451,NA
2017,"west",1,2,"optimal",501,94,3110,0.0204484135368217,0.0181441243063533,4.08151966802827e-05,3.62158169787492e-05,0.0204484135368217,0.0181441243063533,NA
2017,"west",1,2.5,"optimal",501,94,3110,0.0204624662179489,0.0181013407011343,4.08432459440098e-05,3.61304205611463e-05,0.0204624662179489,0.0181013407011343,NA
2017,"west",1,3.33333333333333,"optimal",501,94,3110,0.0203296496124823,0.0180198210928135,4.05781429390864e-05,3.59677067720829e-05,0.0203296496124823,0.0180198210928135,NA
2017,"west",1,5,"optimal",501,94,3110,0.0196129500065444,0.0171282590103721,3.91476048034819e-05,3.41881417372696e-05,0.0196129500065444,0.0171282590103721,NA
2021,"west",1,0.2,"optimal",501,94,3016,0.0204415940679783,0.0189414105151841,4.08015849660246e-05,3.78072066171339e-05,0.0204415940679783,0.0189414105151841,NA
2021,"west",1,0.3,"optimal",501,94,3016,0.0202247329705832,0.0187606731532469,4.03687284841979e-05,3.74464533996944e-05,0.0202247329705832,0.0187606731532469,NA
2021,"west",1,0.4,"optimal",501,94,3016,0.0208715676220352,0.0191019889746143,4.16598156128448e-05,3.81277225042201e-05,0.0208715676220352,0.0191019889746143,NA
2021,"west",1,0.5,"optimal",501,94,3016,0.0210092632789776,0.0191187531221753,4.19346572434682e-05,3.81611838765974e-05,0.0210092632789776,0.0191187531221753,NA
2021,"west",1,0.6,"optimal",501,94,3016,0.0210981866265609,0.019187340155404,4.21121489552114e-05,3.8298084142523e-05,0.0210981866265609,0.019187340155404,NA
2021,"west",1,0.7,"optimal",501,94,3016,0.0210930714417306,0.0191752956506642,4.21019390054502e-05,3.82740432148987e-05,0.0210930714417306,0.0191752956506642,NA
2021,"west",1,0.8,"optimal",501,94,3016,0.0210754379794966,0.0191938735091987,4.20667424740452e-05,3.83111247688597e-05,0.0210754379794966,0.0191938735091987,NA
2021,"west",1,0.9,"optimal",501,94,3016,0.0211046957098414,0.0191873897850818,4.21251411374081e-05,3.8298183203756e-05,0.0211046957098414,0.0191873897850818,NA
2021,"west",1,1,"optimal",501,94,3016,0.0211085405116753,0.0191933870120826,4.21328153925654e-05,3.83101537167317e-05,0.0211085405116753,0.0191933870120826,NA
2021,"west",1,1.11111111111111,"optimal",501,94,3016,0.0208152342219861,0.0188878397042567,4.1547373696579e-05,3.77002788508117e-05,0.0208152342219861,0.0188878397042567,NA
2021,"west",1,1.25,"optimal",501,94,3016,0.0211234020782397,0.0192070198409392,4.21624791980832e-05,3.83373649519745e-05,0.0211234020782397,0.0192070198409392,NA
2021,"west",1,1.42857142857143,"optimal",501,94,3016,0.0211234020718851,0.0192070179937307,4.21624791853994e-05,3.83373612649316e-05,0.0211234020718851,0.0192070179937307,NA
2021,"west",1,1.66666666666667,"optimal",501,94,3016,0.0211234020787975,0.0192070196103391,4.21624791991966e-05,3.83373644916949e-05,0.0211234020787975,0.0192070196103391,NA
2021,"west",1,2,"optimal",501,94,3016,0.0209503556330572,0.0190276726199729,4.18170771118906e-05,3.79793864670117e-05,0.0209503556330572,0.0190276726199729,NA
2021,"west",1,2.5,"optimal",501,94,3016,0.0208516763749638,0.0188021710910674,4.16201125248779e-05,3.7529283614905e-05,0.0208516763749638,0.0188021710910674,NA
2021,"west",1,3.33333333333333,"optimal",501,94,3016,0.0201332500787086,0.0184438772380028,4.01861279016139e-05,3.68141262235584e-05,0.0201332500787086,0.0184438772380028,NA
2021,"west",1,5,"optimal",501,94,3016,0.0202502957374971,0.0183861549079051,4.0419751971052e-05,3.66989119918265e-05,0.0202502957374971,0.0183861549079051,NA
